Referencia;Nº de cuenta;Importe;Moneda;Fecha valor;Concepto
OP-2026000103;ES4800490000040000000094;1.096,30;USD;17/09/2026;Comisiones
OP-2026000104;ES6101280000110000000051;1.115,56;USD;18/09/2026;Seguros
OP-2026000105;ES9500810000540000000149;829,74;EUR;13/09/2026;Comisiones
OP-2026000106;ES6200810000510000000017;670,20;EUR;24/09/2026;Viajes
OP-2026000107;ES9201280000120000000220;636,91;USD;17/09/2026;Servicios profesionales
OP-2026000108;ES6001820000960000000219;904,04;USD;21/09/2026;Mantenimiento
OP-2026000109;ES4700810000510000000093;538,34;EUR;15/09/2026;Alquiler
OP-2026000110;ES8021000000610000000222;3.586.937,20;COP;25/09/2026;Proveedor
OP-2026000111;ES6701280000130000000136;1.489,77;USD;21/09/2026;Comisiones
OP-2026000112;ES5600810000510000000028;728,70;EUR;27/09/2026;Publicidad
OP-2026000113;ES8020850000110000000110;4.138.980,19;COP;21/09/2026;Comisiones
OP-2026000114;ES1420850000150000000132;878,47;EUR;16/09/2026;Formación
OP-2026000115;ES4601820000950000000035;17.024,30;MXN;21/09/2026;Licencias de software
OP-2026000116;ES5901280000170000000084;9.732,98;MXN;18/09/2026;Licencias de software
OP-2026000117;ES6701280000130000000039;651,87;EUR;22/09/2026;Mantenimiento
OP-2026000118;ES4721000000610000000040;730,37;USD;24/09/2026;Proveedor
OP-2026000119;ES4220850000150000000016;975,05;EUR;25/09/2026;Licencias de software
OP-2026000120;ES0420850000100000000072;10.642,89;MXN;25/09/2026;Seguros
OP-2026000121;ES2401820000970000000139;3.797.973,29;COP;24/09/2026;Transporte
OP-2026000122;ES7020850000180000000044;1.001,27;EUR;15/09/2026;Viajes
OP-2026000123;ES3221000000600000000165;898,34;EUR;22/09/2026;Servicios profesionales
OP-2026000124;ES1800490000040000000246;18.125,96;MXN;13/09/2026;Seguros
OP-2026000125;ES0600490000090000000120;675,26;EUR;23/09/2026;Viajes
OP-2026000126;ES3921000000640000000231;1.050,34;EUR;18/09/2026;Proveedor
OP-2026000127;ES9100810000580000000025;947,44;USD;18/09/2026;Publicidad
OP-2026000128;ES7801280000160000000179;16.123,41;MXN;26/09/2026;Comisiones
OP-2026000129;ES5600490000000000000049;855,39;EUR;26/09/2026;Comisiones
OP-2026000130;ES5520850000150000000170;723,00;EUR;19/09/2026;Suministros
OP-2026000131;ES5001280000130000000248;17.364,14;MXN;20/09/2026;Suministros
OP-2026000132;ES7001820000920000000138;983,15;EUR;26/09/2026;Material de oficina
OP-2026000133;ES1801820000950000000054;708,57;USD;17/09/2026;Licencias de software
OP-2026000134;ES9100490000070000000240;975,16;USD;21/09/2026;Publicidad
OP-2026000135;ES6101280000110000000051;955,85;EUR;14/09/2026;Formación
OP-2026000136;ES6201820000960000000183;748,98;EUR;23/09/2026;Publicidad
OP-2026000137;ES7101280000160000000111;1.036,31;USD;16/09/2026;Material de oficina
OP-2026000138;ES8121000000680000000249;944,91;EUR;15/09/2026;Licencias de software
OP-2026000139;ES6700490000010000000190;13.896,40;MXN;18/09/2026;Material de oficina
OP-2026000140;ES1500810000540000000134;724,40;EUR;20/09/2026;Seguros
OP-2026000141;ES5800490000060000000204;13.826,56;MXN;15/09/2026;Mantenimiento
OP-2026000142;ES4000490000050000000092;858,60;EUR;20/09/2026;Material de oficina
OP-2026000143;ES7600490000040000000172;476,78;USD;21/09/2026;Transporte
OP-2026000144;ES5001280000130000000248;626,71;USD;23/09/2026;Alquiler
OP-2026000145;ES7320850000190000000135;624,70;EUR;26/09/2026;Mantenimiento
OP-2026000146;ES0800810000590000000209;4.847.834,21;COP;17/09/2026;Seguros
OP-2026000147;ES5900490000010000000237;781,58;EUR;20/09/2026;Publicidad
OP-2026000148;ES0220850000100000000205;806,45;EUR;23/09/2026;Formación
OP-2026000149;ES4621000000680000000006;616,28;EUR;15/09/2026;Transporte
OP-2026000150;ES4601280000170000000027;914,78;EUR;19/09/2026;Alquiler
OP-2026000151;ES2620850000170000000012;876,08;EUR;24/09/2026;Alquiler
OP-2026000152;ES1500810000540000000134;886,08;USD;14/09/2026;Viajes
OP-2026000153;ES9621000000620000000079;4.650.664,62;COP;20/09/2026;Suministros
OP-2026000154;ES7301820000910000000230;660,30;EUR;20/09/2026;Viajes
OP-2026000155;ES7300490000030000000081;880,67;EUR;19/09/2026;Nómina
OP-2026000156;ES3101280000140000000153;1.271,18;EUR;15/09/2026;Servicios profesionales
OP-2026000157;ES4400810000520000000098;1.032,58;EUR;20/09/2026;Mantenimiento
OP-2026000158;ES7501820000900000000243;1.008,37;EUR;16/09/2026;Material de oficina
OP-2026000159;ES1000810000590000000076;523,89;USD;16/09/2026;Comisiones
OP-2026000160;ES6620850000150000000069;781,29;EUR;25/09/2026;Material de oficina
OP-2026000161;ES3421000000660000000223;12.730,18;MXN;21/09/2026;Proveedor
OP-2026000162;ES4500810000510000000032;3.104.757,40;COP;22/09/2026;Transporte
OP-2026000163;ES2921000000680000000118;11.646,40;MXN;19/09/2026;Formación
OP-2026000164;ES5600810000510000000028;710,13;EUR;25/09/2026;Material de oficina
OP-2026000165;ES1520850000100000000068;990,53;EUR;25/09/2026;Formación
OP-2026000166;ES6620850000150000000069;855,10;EUR;27/09/2026;Transporte
OP-2026000167;ES3101280000140000000056;1.081,52;EUR;24/09/2026;Comisiones
OP-2026000168;ES6201820000960000000183;1.360,17;USD;21/09/2026;Alquiler
OP-2026000169;ES1800490000040000000246;14.975,45;MXN;27/09/2026;Viajes
OP-2026000170;ES8700810000550000000244;832,43;EUR;21/09/2026;Licencias de software
OP-2026000171;ES5001280000130000000248;5.317.924,69;COP;16/09/2026;Licencias de software
OP-2026000172;ES0920850000170000000124;787,56;USD;13/09/2026;Seguros
OP-2026000173;ES2101820000910000000002;750,58;EUR;17/09/2026;Publicidad
OP-2026000174;ES8401280000130000000121;768,18;USD;27/09/2026;Seguros
OP-2026000175;ES8721000000680000000141;768,54;EUR;23/09/2026;Mantenimiento
OP-2026000176;ES5121000000690000000061;595,47;EUR;20/09/2026;Comisiones
OP-2026000177;ES8321000000620000000119;692,36;EUR;14/09/2026;Suministros
OP-2026000178;ES3101280000110000000106;1.061,30;EUR;19/09/2026;Mantenimiento
OP-2026000179;ES5121000000690000000061;789,41;EUR;15/09/2026;Mantenimiento
OP-2026000180;ES9420850000180000000194;731,33;EUR;18/09/2026;Material de oficina
OP-2026000181;ES6421000000630000000024;771,51;EUR;13/09/2026;Transporte
OP-2026000182;ES3600810000530000000193;747,29;EUR;15/09/2026;Publicidad
OP-2026000183;ES9820850000180000000122;17.346,52;MXN;26/09/2026;Viajes
OP-2026000184;ES0220850000100000000205;461,22;EUR;18/09/2026;Proveedor
OP-2026000185;ES4400810000520000000098;858,74;EUR;14/09/2026;Viajes
OP-2026000186;ES0220850000100000000108;857,74;EUR;23/09/2026;Publicidad
OP-2026000187;ES4221000000680000000175;932,88;EUR;22/09/2026;Nómina
OP-2026000188;ES5121000000690000000061;886,16;USD;14/09/2026;Material de oficina
OP-2026000189;ES3700490000010000000148;21.038,94;MXN;23/09/2026;Publicidad
OP-2026000190;ES0200490000090000000192;750,53;EUR;21/09/2026;Nómina
OP-2026000191;ES6201820000960000000183;2.715.313,35;COP;20/09/2026;Publicidad
OP-2026000192;ES9500490000010000000171;1.139,91;EUR;20/09/2026;Formación
OP-2026000193;ES5520850000150000000170;2.692.143,53;COP;20/09/2026;Alquiler
OP-2026000194;ES2101820000910000000002;693,22;EUR;22/09/2026;Mantenimiento
OP-2026000195;ES6200810000510000000114;714,52;EUR;22/09/2026;Seguros
OP-2026000196;ES4400810000520000000098;3.865.383,10;COP;23/09/2026;Licencias de software
OP-2026000197;ES9400810000590000000213;768,42;EUR;18/09/2026;Servicios profesionales
OP-2026000198;ES3721000000670000000217;15.062,11;MXN;19/09/2026;Seguros
OP-2026000199;ES7120850000130000000077;376,49;EUR;17/09/2026;Servicios profesionales
OP-2026000200;ES3101280000110000000106;1.108,13;USD;20/09/2026;Seguros
OP-2026000201;ES8721000000680000000141;16.768,27;MXN;13/09/2026;Suministros
OP-2026000202;ES7801280000160000000179;760,47;EUR;17/09/2026;Viajes
OP-2026000203;ES2701280000110000000178;4.124.214,07;COP;23/09/2026;Transporte
OP-2026000204;ES7221000000620000000026;845,38;EUR;16/09/2026;Material de oficina
OP-2026000205;ES1801820000950000000054;715,52;EUR;22/09/2026;Mantenimiento
OP-2026000206;ES2401820000970000000139;1.076,63;EUR;21/09/2026;Material de oficina
OP-2026000207;ES4220850000180000000063;620,78;USD;15/09/2026;Mantenimiento
OP-2026000208;ES9101280000130000000189;1.242,65;EUR;22/09/2026;Comisiones
OP-2026000209;ES9500810000540000000149;958,84;EUR;15/09/2026;Servicios profesionales
OP-2026000210;ES2421000000610000000163;4.313.184,41;COP;20/09/2026;Licencias de software
OP-2026000211;ES3101280000140000000153;829,74;EUR;21/09/2026;Transporte
OP-2026000212;ES2921000000680000000215;904,00;EUR;19/09/2026;Suministros
OP-2026000213;ES9400810000590000000213;2.756.104,52;COP;21/09/2026;Seguros
OP-2026000214;ES9400810000590000000213;12.404,21;MXN;22/09/2026;Mantenimiento
OP-2026000215;ES7320850000190000000135;1.203,77;EUR;16/09/2026;Nómina
OP-2026000216;ES8020850000110000000110;827,72;EUR;19/09/2026;Publicidad
OP-2026000217;ES4220850000180000000063;9.661,74;MXN;21/09/2026;Publicidad
OP-2026000218;ES8021000000610000000222;1.235,80;EUR;24/09/2026;Comisiones
OP-2026000219;ES4901820000960000000126;18.179,41;MXN;22/09/2026;Material de oficina
OP-2026000220;ES0800810000590000000209;942,15;EUR;15/09/2026;Material de oficina
OP-2026000221;ES7221000000620000000026;662,53;EUR;14/09/2026;Suministros
OP-2026000222;ES2921000000680000000118;1.039,85;EUR;22/09/2026;Transporte
OP-2026000223;ES7701820000960000000107;1.242,42;USD;16/09/2026;Transporte
OP-2026000224;ES7621000000650000000001;837,92;EUR;14/09/2026;Alquiler
OP-2026000225;ES3101280000110000000106;781,48;USD;14/09/2026;Licencias de software
OP-2026000226;ES5500490000050000000210;651,44;EUR;16/09/2026;Comisiones
OP-2026000227;ES6701820000910000000047;1.053,72;USD;14/09/2026;Alquiler
OP-2026000228;ES6701280000130000000039;700,39;EUR;20/09/2026;Servicios profesionales
OP-2026000229;ES8721000000680000000141;5.190.283,58;COP;25/09/2026;Material de oficina
OP-2026000230;ES9201820000900000000034;660,38;USD;14/09/2026;Nómina
OP-2026000231;ES6200810000510000000114;291,00;USD;20/09/2026;Nómina
OP-2026000232;ES1200810000560000000090;1.155,16;EUR;24/09/2026;Alquiler
OP-2026000233;ES6300490000040000000018;2.726.321,18;COP;17/09/2026;Viajes
OP-2026000234;ES9620850000120000000064;973,17;EUR;19/09/2026;Alquiler
OP-2026000235;ES9200810000530000000155;1.054,31;EUR;22/09/2026;Formación
OP-2026000236;ES0201820000900000000199;1.215,55;EUR;25/09/2026;Material de oficina
OP-2026000237;ES3600810000530000000193;845,59;USD;14/09/2026;Material de oficina
OP-2026000238;ES5621000000640000000022;12.415,03;MXN;22/09/2026;Formación
OP-2026000239;ES8021000000610000000222;728,73;USD;22/09/2026;Seguros
OP-2026000240;ES6300490000040000000212;1.230,73;EUR;22/09/2026;Mantenimiento
OP-2026000241;ES2721000000620000000157;801,14;EUR;17/09/2026;Mantenimiento
OP-2026000242;ES3101280000110000000106;877,24;EUR;24/09/2026;Comisiones
OP-2026000243;ES3900810000540000000187;18.425,76;MXN;22/09/2026;Servicios profesionales
OP-2026000244;ES0800810000590000000209;1.326,13;EUR;21/09/2026;Seguros
OP-2026000245;ES9620850000120000000064;2.833.209,66;COP;13/09/2026;Suministros
OP-2026000246;ES0421000000600000000087;1.352,39;USD;24/09/2026;Transporte
OP-2026000247;ES0421000000600000000087;1.034,04;USD;19/09/2026;Licencias de software
OP-2026000248;ES8321000000620000000119;822,99;EUR;22/09/2026;Material de oficina
OP-2026000249;ES7101280000160000000111;1.378,65;USD;25/09/2026;Licencias de software
OP-2026000250;ES5901280000170000000084;784,76;EUR;22/09/2026;Material de oficina
OP-2026000251;ES1200810000560000000090;864,01;EUR;25/09/2026;Seguros
OP-2026000252;ES6720850000140000000003;693,21;USD;18/09/2026;Material de oficina
OP-2026000253;ES1000810000590000000076;511,86;EUR;21/09/2026;Mantenimiento
OP-2026000254;ES7601820000920000000030;642,72;USD;25/09/2026;Transporte
OP-2026000255;ES8700810000550000000244;498,60;EUR;24/09/2026;Seguros
OP-2026000256;ES3101280000140000000056;1.164,02;EUR;13/09/2026;Alquiler
OP-2026000257;ES3421000000660000000223;1.043,42;EUR;22/09/2026;Mantenimiento
OP-2026000258;ES7120850000130000000174;912,48;EUR;22/09/2026;Mantenimiento
OP-2026000259;ES5600810000510000000028;720,10;EUR;26/09/2026;Material de oficina
OP-2026000260;ES2701280000110000000178;731,93;EUR;14/09/2026;Alquiler
OP-2026000261;ES9101280000130000000189;1.196,12;USD;24/09/2026;Material de oficina
OP-2026000262;ES3500810000550000000113;973,64;EUR;26/09/2026;Mantenimiento
OP-2026000263;ES3000810000570000000105;938,48;USD;27/09/2026;Transporte
OP-2026000264;ES7521000000630000000214;427,32;EUR;25/09/2026;Servicios profesionales
OP-2026000265;ES6620850000150000000069;1.024,27;EUR;23/09/2026;Mantenimiento
OP-2026000266;ES7520850000130000000102;907,92;EUR;24/09/2026;Nómina
OP-2026000267;ES4800810000520000000123;1.064,12;EUR;20/09/2026;Licencias de software
OP-2026000268;ES7600810000520000000201;869,21;USD;13/09/2026;Seguros
OP-2026000269;ES0701280000170000000050;1.020,09;USD;17/09/2026;Viajes
OP-2026000270;ES3500810000580000000160;912,44;EUR;15/09/2026;Suministros
OP-2026000271;ES3720850000170000000008;876,45;EUR;27/09/2026;Alquiler
OP-2026000272;ES4201280000170000000099;525,97;EUR;14/09/2026;Transporte
OP-2026000273;ES4800490000040000000094;1.460,07;EUR;22/09/2026;Licencias de software
OP-2026000274;ES2000810000520000000142;1.159,36;EUR;16/09/2026;Suministros
OP-2026000275;ES5401280000160000000029;1.070,74;EUR;26/09/2026;Mantenimiento
OP-2026000276;ES3401820000930000000058;995,66;EUR;20/09/2026;Mantenimiento
OP-2026000277;ES6701280000130000000039;874,50;EUR;16/09/2026;Mantenimiento
OP-2026000278;ES1100490000070000000031;736,96;EUR;19/09/2026;Seguros
OP-2026000279;ES6400490000020000000195;713,93;EUR;15/09/2026;Transporte
OP-2026000280;ES2300810000530000000233;875,16;EUR;23/09/2026;Publicidad
OP-2026000281;ES0220850000100000000205;1.229,86;EUR;21/09/2026;Nómina
OP-2026000282;ES6520850000110000000089;3.428.314,74;COP;26/09/2026;Suministros
OP-2026000283;ES3820850000120000000235;407,74;USD;17/09/2026;Proveedor
OP-2026000284;ES5801280000190000000101;928,79;EUR;27/09/2026;Formación
OP-2026000285;ES4500810000510000000032;3.364.990,32;COP;17/09/2026;Licencias de software
OP-2026000286;ES2121000000690000000019;13.340,24;MXN;20/09/2026;Transporte
OP-2026000287;ES8120850000180000000234;1.194,63;EUR;26/09/2026;Nómina
OP-2026000288;ES6320850000140000000075;5.029.305,11;COP;25/09/2026;Material de oficina
OP-2026000289;ES2401820000970000000139;892,92;EUR;13/09/2026;Nómina
OP-2026000290;ES1501280000160000000052;4.061.591,81;COP;13/09/2026;Licencias de software
OP-2026000291;ES1500810000540000000134;19.909,29;MXN;26/09/2026;Material de oficina
OP-2026000292;ES2401820000970000000139;1.070,26;USD;24/09/2026;Publicidad
OP-2026000293;ES2401280000100000000184;649,87;EUR;20/09/2026;Licencias de software
OP-2026000294;ES8020850000110000000110;1.098,51;EUR;13/09/2026;Licencias de software
OP-2026000295;ES2800810000510000000241;1.028,39;USD;17/09/2026;Mantenimiento
OP-2026000296;ES6520850000110000000089;809,98;USD;25/09/2026;Material de oficina
OP-2026000297;ES1901820000990000000228;874,91;EUR;25/09/2026;Formación
OP-2026000298;ES0600490000090000000120;548,72;EUR;27/09/2026;Licencias de software
OP-2026000299;ES3421000000660000000223;654,17;EUR;23/09/2026;Servicios profesionales
OP-2026000300;ES6201820000960000000183;710,71;EUR;27/09/2026;Licencias de software
OP-2026000301;ES4220850000180000000063;19.022,03;MXN;19/09/2026;Suministros
OP-2026000302;ES0420850000100000000072;872,39;USD;16/09/2026;Servicios profesionales
OP-2026000303;ES8121000000680000000249;3.744.470,35;COP;21/09/2026;Servicios profesionales
OP-2026000304;ES5801280000190000000101;853,34;EUR;27/09/2026;Formación
OP-2026000305;ES9200810000530000000155;3.892.845,52;COP;17/09/2026;Proveedor
OP-2026000306;ES7101280000160000000111;954,54;EUR;17/09/2026;Material de oficina
OP-2026000307;ES7520850000130000000102;13.486,15;MXN;19/09/2026;Comisiones
OP-2026000308;ES3101280000140000000056;800,78;EUR;22/09/2026;Mantenimiento
OP-2026000309;ES4901820000960000000126;597,73;USD;17/09/2026;Formación
OP-2026000310;ES6201820000960000000183;703,32;EUR;16/09/2026;Viajes
OP-2026000311;ES8721000000680000000141;15.576,10;MXN;14/09/2026;Comisiones
OP-2026000312;ES6620850000150000000069;478,29;EUR;15/09/2026;Alquiler
OP-2026000313;ES5420850000100000000239;917,26;EUR;17/09/2026;Publicidad
OP-2026000314;ES5900810000520000000216;1.210,12;EUR;20/09/2026;Nómina
OP-2026000315;ES6920850000110000000211;4.352.742,16;COP;17/09/2026;Viajes
OP-2026000316;ES2620850000170000000012;581,16;EUR;17/09/2026;Comisiones
OP-2026000317;ES6300490000040000000018;9.986,39;MXN;25/09/2026;Material de oficina
OP-2026000318;ES5300810000500000000131;17.368,55;MXN;19/09/2026;Viajes
OP-2026000319;ES0420850000100000000072;1.126,35;EUR;14/09/2026;Viajes
OP-2026000320;ES8021000000610000000222;1.029,07;EUR;15/09/2026;Suministros
OP-2026000321;ES7501820000900000000243;4.212.385,56;COP;16/09/2026;Seguros
OP-2026000322;ES8600810000510000000070;446,20;USD;13/09/2026;Licencias de software
OP-2026000323;ES0201820000900000000199;1.085,60;EUR;20/09/2026;Seguros
OP-2026000324;ES3400810000510000000133;1.279,92;EUR;25/09/2026;Viajes
OP-2026000325;ES6620850000150000000069;4.486.576,48;COP;25/09/2026;Seguros
OP-2026000326;ES1301820000970000000046;970,88;EUR;19/09/2026;Alquiler
OP-2026000327;ES2101820000910000000002;677,89;USD;24/09/2026;Mantenimiento
OP-2026000328;ES8100810000500000000015;1.004,34;EUR;27/09/2026;Nómina
OP-2026000329;ES9201820000900000000034;4.231.469,59;COP;13/09/2026;Nómina
OP-2026000330;ES9601280000110000000197;899,12;EUR;13/09/2026;Publicidad
OP-2026000331;ES3600810000530000000193;3.234.758,53;COP;25/09/2026;Publicidad
OP-2026000332;ES1501280000160000000052;873,79;EUR;16/09/2026;Nómina
OP-2026000333;ES7320850000190000000135;906,47;EUR;21/09/2026;Servicios profesionales
OP-2026000334;ES6701280000130000000136;861,84;EUR;24/09/2026;Formación
OP-2026000335;ES6001820000960000000219;556,24;EUR;14/09/2026;Alquiler
OP-2026000336;ES8100810000530000000062;1.010,28;EUR;18/09/2026;Alquiler
OP-2026000337;ES8100810000530000000062;912,62;EUR;13/09/2026;Nómina
OP-2026000338;ES2101820000910000000002;18.760,04;MXN;23/09/2026;Suministros
OP-2026000339;ES6101280000110000000051;978,19;EUR;25/09/2026;Servicios profesionales
OP-2026000340;ES1800810000550000000225;3.523.132,36;COP;19/09/2026;Servicios profesionales
